       x:             u(x):          v(x):          v_special         RelativeError
      0.0000000      0.0000000      0.0000000      0.0000000            NAN
    0.090909091     0.50620471     0.47273682     0.47273682     -1.1796978
     0.18181818     0.65586946     0.61250643     0.61250643     -1.1796978
     0.27272727     0.66188771     0.61812678     0.61812678     -1.1796978
     0.36363636     0.61003216     0.56969968     0.56969968     -1.1796978
     0.45454545     0.53485984     0.49949740     0.49949740     -1.1796978
     0.54545455     0.45029340     0.42052210     0.42052210     -1.1796978
     0.63636364     0.36194216     0.33801224     0.33801224     -1.1796978
     0.72727273     0.27206607     0.25407833     0.25407833     -1.1796978
     0.81818182     0.18157563     0.16957070     0.16957070     -1.1796978
     0.90909091    0.090837678    0.084831914    0.084831914     -1.1796978
      1.0000000      0.0000000      0.0000000      0.0000000            NAN
